seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr11	62477007	62477053	47	*	X01989	26580	62457734	62477091	19358	-	0	inside	37	BSCL2
chr11	62560950	62560994	45	*	X01992	79064	62557787	62559486	1700	-	1463	upstream	1463	TMEM223
chr11	64135842	64135916	75	*	X02031	100302280	64136074	64136175	102	+	157	upstream	157	MIR1237
chr11	64136082	64136216	135	*	X02032	100302280	64136074	64136175	102	+	0	overlapEnd	7	MIR1237
chr11	64886338	64886442	105	*	X02060	741	64883875	64885170	1296	-	1167	upstream	1167	ZNHIT2
chr11	64887703	64887807	105	*	X02061	740	64889655	64894841	5187	+	1847	upstream	1847	MRPL49
chr11	64979482	64979573	92	*	X02081	440044	64981311	65010228	28918	+	1737	upstream	1737	SLC22A20P
chr11	65402894	65402902	9	*	X02110	100616292	65403781	65403840	60	+	878	upstream	878	MIR4690
chr11	65402950	65402983	34	*	X02111	100616292	65403781	65403840	60	+	797	upstream	797	MIR4690
chr11	65404139	65404258	120	*	X02112	6494	65405578	65418391	12814	+	1319	upstream	1319	SIPA1
chr11	65688325	65688444	120	*	X02132	83638	65684283	65686531	2249	-	1793	upstream	1793	C11orf68
chr11	67205735	67205851	117	*	X02184	5790	67202981	67205153	2173	-	581	upstream	581	PTPRCAP
chr11	67205958	67206002	45	*	X02185	5790	67202981	67205153	2173	-	804	upstream	804	PTPRCAP
chr11	67800463	67800582	120	*	X02197	100616403	67801364	67801448	85	+	781	upstream	781	MIR4691
chr11	67800673	67800792	120	*	X02198	100616403	67801364	67801448	85	+	571	upstream	571	MIR4691
chr11	70129867	70129956	90	*	X02241	100313770	70130061	70130176	116	+	104	upstream	104	MIR548K
chr11	93454895	93455014	120	*	X02307	619383	93454680	93455032	353	+	0	inside	214	SCARNA9
chr11	118887256	118887390	135	*	X02369	51399	118889241	118894385	5145	+	1850	upstream	1850	TRAPPC4
chr11	121971173	121971212	40	*	X02387	406911	121970465	121970552	88	-	620	upstream	620	MIR125B1
chr11	121971472	121971472	1	*	X02388	406911	121970465	121970552	88	-	919	upstream	919	MIR125B1
chr11	121971948	121972046	99	*	X02389	406911	121970465	121970552	88	-	1395	upstream	1395	MIR125B1
chr11	122018641	122018745	105	*	X02392	406882	122017230	122017301	72	-	1339	upstream	1339	MIRLET7A2
chr12	6641537	6641656	120	*	X02467	2597	6643585	6647537	3953	+	1928	upstream	1928	GAPDH
chr12	6878527	6878599	73	*	X02482	8079	6857158	6876641	19484	-	1885	upstream	1885	MLF2
chr12	6879818	6879967	150	*	X02485	3902	6881670	6887621	5952	+	1702	upstream	1702	LAG3
chr12	6879995	6880099	105	*	X02486	3902	6881670	6887621	5952	+	1570	upstream	1570	LAG3
chr12	6975404	6975406	3	*	X02497	7167	6976584	6980110	3527	+	1177	upstream	1177	TPI1
chr12	7050256	7050360	105	*	X02504	113246	7052141	7055165	3025	+	1780	upstream	1780	C12orf57
chr12	7051129	7051151	23	*	X02505	113246	7052141	7055165	3025	+	989	upstream	989	C12orf57
chr12	7077195	7077299	105	*	X02508	677777	7076500	7076769	270	-	425	upstream	425	SCARNA12
chr12	11093735	11093820	86	*	X02525	50840	11090853	11091806	954	-	1928	upstream	1928	TAS2R14
chr12	49165903	49165997	95	*	X02597	100616262	49165758	49165820	63	-	82	upstream	82	MIR4701
chr12	49167449	49167568	120	*	X02598	100616262	49165758	49165820	63	-	1628	upstream	1628	MIR4701
chr12	53343929	53344033	105	*	X02666	3856	53290971	53343650	52680	-	278	upstream	278	KRT8
chr12	53905882	53906031	150	*	X02690	100652999	53907768	53911392	3625	+	1736	upstream	1736	LOC100652999
chr12	53907187	53907266	80	*	X02691	100652999	53907768	53911392	3625	+	501	upstream	501	LOC100652999
chr12	56510777	56510881	105	*	X02734	84872	56512030	56516278	4249	+	1148	upstream	1148	ZC3H10
chr12	57081780	57081824	45	*	X02773	10728	57057125	57082078	24954	-	0	inside	253	PTGES3
chr12	58219622	58219741	120	*	X02816	407016	58218392	58218475	84	-	1146	upstream	1146	MIR26A2
chr12	58219907	58220011	105	*	X02817	407016	58218392	58218475	84	-	1431	upstream	1431	MIR26A2
chr12	66222221	66222250	30	*	X02832	204010	66151800	66220754	68955	-	1466	upstream	1466	RPSAP52
chr12	104697439	104697455	17	*	X02878	493861	104697510	104698982	1473	+	54	upstream	54	EID3
chr12	104697555	104697558	4	*	X02879	493861	104697510	104698982	1473	+	0	inside	44	EID3
chr12	109914784	109914950	167	*	X02908	83892	109886460	109915155	28696	-	0	inside	204	KCTD10
chr12	109914784	109914950	167	*	X02908	89910	109915428	109974510	59083	+	477	upstream	477	UBE3B
chr12	120153396	120153465	70	*	X02986	100302274	120151439	120151529	91	-	1866	upstream	1866	MIR1178
chr12	120594421	120594508	88	*	X03004	100616179	120593238	120593303	66	-	1117	upstream	1117	MIR4498
chr12	125398505	125398533	29	*	X03101	100847004	125400093	125400205	113	+	1559	upstream	1559	MIR5188
chr12	132630616	132630735	120	*	X03145	317781	132621140	132628880	7741	-	1735	upstream	1735	DDX51
chr14	21853975	21854002	28	*	X03340	11198	21819631	21852425	32795	-	1549	upstream	1549	SUPT16H
chr14	21854077	21854124	48	*	X03341	11198	21819631	21852425	32795	-	1651	upstream	1651	SUPT16H
chr14	23528137	23528241	105	*	X03350	64403	23516270	23526747	10478	-	1389	upstream	1389	CDH24
chr14	24779086	24779108	23	*	X03393	1241	24780705	24787242	6538	+	1596	upstream	1596	LTB4R
chr14	24779086	24779108	23	*	X03393	56413	24779357	24781259	1903	+	248	upstream	248	LTB4R2
chr14	50780558	50780559	2	*	X03418	79944	50704285	50778947	74663	-	1610	upstream	1610	L2HGDH
chr15	34634327	34634400	74	*	X03713	256646	34635516	34649931	14416	+	1115	upstream	1115	NUTM1
chr15	44087238	44087357	120	*	X03788	100302254	44085857	44085957	101	-	1280	upstream	1280	MIR1282
chr15	44091072	44091150	79	*	X03791	25764	44091556	44095241	3686	+	405	upstream	405	HYPK
chr15	44091072	44091150	79	*	X03791	80237	44064798	44091335	26538	-	0	inside	184	ELL3
chr15	52569459	52569578	120	*	X03829	100302202	52569314	52569397	84	-	61	upstream	61	MIR1266
chr15	72491921	72492055	135	*	X03937	196996	72452147	72490136	37990	-	1784	upstream	1784	GRAMD2A
chr15	72878682	72878801	120	*	X03951	693215	72879558	72879654	97	+	756	upstream	756	MIR630
chr15	90775392	90775511	120	*	X04060	390637	90777487	90785312	7826	+	1975	upstream	1975	GDPGP1
chr15	96874736	96874844	109	*	X04076	100302258	96876490	96876536	47	+	1645	upstream	1645	MIR1469
chr15	96874905	96875069	165	*	X04077	100302258	96876490	96876536	47	+	1420	upstream	1420	MIR1469
chr16	836885	836964	80	*	X04100	63922	838622	848074	9453	+	1657	upstream	1657	CHTF18
chr16	2013526	2013645	120	*	X04129	26784	2012974	2013107	134	-	418	upstream	418	SNORA64
chr16	2013526	2013645	120	*	X04129	574042	2012335	2012467	133	-	1058	upstream	1058	SNORA10
chr16	2013526	2013645	120	*	X04129	677844	2015185	2015311	127	+	1539	upstream	1539	SNORA78
chr16	2013526	2013645	120	*	X04129	735301	2014997	2015505	509	+	1351	upstream	1351	SNHG9
chr16	3072644	3072719	76	*	X04193	79228	3074032	3077756	3725	+	1312	upstream	1312	THOC6
chr16	3072894	3072998	105	*	X04194	79228	3074032	3077756	3725	+	1033	upstream	1033	THOC6
chr16	3166533	3166667	135	*	X04197	81854	3160461	3165599	5139	-	933	upstream	933	ZNF205-AS1
chr16	4895400	4895519	120	*	X04247	29855	4896666	4932363	35698	+	1146	upstream	1146	UBN1
chr16	30368343	30368400	58	*	X04427	10421	30362087	30366682	4596	-	1660	upstream	1660	CD2BP2
chr16	30721983	30722117	135	*	X04434	677813	30721858	30721986	129	+	0	overlapEnd	124	SNORA30
chr16	30748427	30748546	120	*	X04437	100862671	30748370	30756517	8148	+	0	inside	56	TMEM265
chr16	30958370	30958609	240	*	X04447	93129	30960405	30966259	5855	+	1795	upstream	1795	ORAI3
chr16	30958843	30958939	97	*	X04448	93129	30960405	30966259	5855	+	1465	upstream	1465	ORAI3
chr16	30958982	30959187	206	*	X04449	93129	30960405	30966259	5855	+	1217	upstream	1217	ORAI3
chr16	67236497	67236556	60	*	X04530	442901	67236224	67236298	75	-	198	upstream	198	MIR328
chr16	67237263	67237382	120	*	X04531	442901	67236224	67236298	75	-	964	upstream	964	MIR328
chr16	69600742	69600832	91	*	X04588	100302119	69599711	69599771	61	-	970	upstream	970	MIR1538
chr16	69965562	69965666	105	*	X04595	406932	69966984	69967083	100	+	1317	upstream	1317	MIR140
chr16	81697056	81697175	120	*	X04652	100129617	81698959	81700879	1921	+	1783	upstream	1783	LOC100129617
chr16	89752502	89752650	149	*	X04818	8558	89753076	89762772	9697	+	425	upstream	425	CDK10
chr17	4872403	4872567	165	*	X04977	9552	4862521	4871132	8612	-	1270	upstream	1270	SPAG7
chr17	4872598	4872732	135	*	X04978	9552	4862521	4871132	8612	-	1465	upstream	1465	SPAG7
chr17	7127209	7127298	90	*	X05006	442898	7126616	7126698	83	-	510	upstream	510	MIR324
chr17	7127374	7127508	135	*	X05007	442898	7126616	7126698	83	-	675	upstream	675	MIR324
chr17	7127832	7127981	150	*	X05008	442898	7126616	7126698	83	-	1133	upstream	1133	MIR324
chr17	7128177	7128222	46	*	X05009	442898	7126616	7126698	83	-	1478	upstream	1478	MIR324
chr17	7138316	7138323	8	*	X05014	1856	7128661	7137863	9203	-	452	upstream	452	DVL2
chr17	7476584	7476703	120	*	X05037	652965	7478031	7478165	135	+	1327	upstream	1327	SNORA48
chr17	7476854	7476939	86	*	X05038	652965	7478031	7478165	135	+	1091	upstream	1091	SNORA48
chr17	7493445	7493450	6	*	X05041	6665	7491498	7493488	1991	-	0	inside	37	SOX15
chr17	8281758	8281847	90	*	X05083	124751	8271973	8280029	8057	-	1728	upstream	1728	KRBA2
chr17	17718539	17718823	285	*	X05132	693120	17717150	17717245	96	-	1293	upstream	1293	MIR33B
chr17	26940909	26941028	120	*	X05190	124923	26907027	26941211	34185	-	0	inside	182	RSKR
chr17	26941914	26942048	135	*	X05191	124923	26907027	26941211	34185	-	702	upstream	702	RSKR
chr17	26942835	26942939	105	*	X05192	124923	26907027	26941211	34185	-	1623	upstream	1623	RSKR
chr17	27047266	27047326	61	*	X05202	26808	27047568	27047634	67	+	241	upstream	241	SNORD42B
chr17	27047266	27047326	61	*	X05202	6147	27047000	27051374	4375	+	0	inside	265	RPL23A
chr17	27047266	27047326	61	*	X05202	83871	27041299	27045286	3988	-	1979	upstream	1979	RAB34
chr17	27050498	27050632	135	*	X05203	26772	27050699	27050772	74	+	66	upstream	66	SNORD4B
chr17	27050498	27050632	135	*	X05203	26809	27050447	27050509	63	+	0	overlapEnd	50	SNORD42A
chr17	27187934	27188053	120	*	X05208	100616273	27188389	27188456	68	+	335	upstream	335	MIR451B
chr17	27188204	27188276	73	*	X05209	100616273	27188389	27188456	68	+	112	upstream	112	MIR451B
chr17	36875631	36875780	150	*	X05292	100616153	36875944	36876001	58	+	163	upstream	163	MIR4726
chr17	36875856	36875975	120	*	X05293	100616153	36875944	36876001	58	+	0	overlapStart	0	MIR4726
chr17	38185180	38185314	135	*	X05360	101340251	38183796	38183898	103	-	1281	upstream	1281	SNORD124
chr17	46669506	46669610	105	*	X05556	3213	46626232	46667631	41400	-	1874	upstream	1874	HOXB3
chr17	54968837	54968941	105	*	X05630	100500827	54968631	54968716	86	-	120	upstream	120	MIR3614
chr17	62501852	62501986	135	*	X05695	90799	62503158	62534062	30905	+	1171	upstream	1171	CEP95
chr17	62502047	62502070	24	*	X05696	90799	62503158	62534062	30905	+	1087	upstream	1087	CEP95
chr17	72199968	72200074	107	*	X05728	6169	72199795	72206019	6225	+	0	inside	172	RPL38
chr17	73842769	73842903	135	*	X05799	201294	73823308	73840851	17544	-	1917	upstream	1917	UNC13D
chr17	73894989	73895108	120	*	X05802	201292	73885041	73893084	8044	-	1904	upstream	1904	TRIM65
chr17	79635152	79635187	36	*	X05958	339229	79632066	79633618	1553	-	1533	upstream	1533	OXLD1
chr17	79792957	79793061	105	*	X05974	116729	79791368	79792926	1559	-	30	upstream	30	PPP1R27
chr17	79792957	79793061	105	*	X05974	348262	79780293	79791167	10875	-	1789	upstream	1789	MCRIP1
chr18	47808523	47808597	75	*	X06145	4152	47793252	47808144	14893	-	378	upstream	378	MBD1
chr18	47809150	47809194	45	*	X06146	4152	47793252	47808144	14893	-	1005	upstream	1005	MBD1
chr18	47809735	47809869	135	*	X06147	4152	47793252	47808144	14893	-	1590	upstream	1590	MBD1
chr19	1038501	1038575	75	*	X06257	10347	1040102	1065570	25469	+	1526	upstream	1526	ABCA7
chr19	1271583	1271777	195	*	X06292	148046	1267470	1270259	2790	-	1323	upstream	1323	CIRBP-AS1
chr19	1816700	1816739	40	*	X06357	100302210	1816158	1816237	80	-	462	upstream	462	MIR1909
chr19	1816771	1816890	120	*	X06358	100302210	1816158	1816237	80	-	533	upstream	533	MIR1909
chr19	2234037	2234141	105	*	X06422	100302283	2234061	2234148	88	-	0	overlapEnd	6	MIR1227
chr19	2247567	2248162	596	*	X06426	268	2249113	2252072	2960	+	950	upstream	950	AMH
chr19	3983332	3983337	6	*	X06503	26812	3982505	3982570	66	-	761	upstream	761	SNORD37
chr19	4678903	4678943	41	*	X06555	100131094	4679294	4685960	6667	+	350	upstream	350	DPP9-AS1
chr19	4931100	4931204	105	*	X06574	100616337	4932699	4932752	54	+	1494	upstream	1494	MIR4747
chr19	5785085	5785189	105	*	X06612	163154	5782971	5784776	1806	-	308	upstream	308	PRR22
chr19	5785505	5785624	120	*	X06613	163154	5782971	5784776	1806	-	728	upstream	728	PRR22
chr19	5786750	5786854	105	*	X06614	163154	5782971	5784776	1806	-	1973	upstream	1973	PRR22
chr19	6417691	6417825	135	*	X06645	100500888	6416421	6416522	102	-	1168	upstream	1168	MIR3940
chr19	7692992	7693009	18	*	X06693	100131801	7694671	7696510	1840	+	1661	upstream	1661	PET100
chr19	10218227	10218346	120	*	X06737	692229	10218327	10218411	85	+	0	overlapStart	0	SNORD105
chr19	10218587	10218751	165	*	X06738	100113382	10220425	10220516	92	+	1673	upstream	1673	SNORD105B
chr19	10219162	10219281	120	*	X06739	100113382	10220425	10220516	92	+	1143	upstream	1143	SNORD105B
chr19	10427087	10427107	21	*	X06758	112812	10416066	10426691	10626	-	395	upstream	395	FDX2
chr19	10427273	10427392	120	*	X06759	112812	10416066	10426691	10626	-	581	upstream	581	FDX2
chr19	10427483	10427602	120	*	X06760	112812	10416066	10426691	10626	-	791	upstream	791	FDX2
chr19	10427843	10427947	105	*	X06761	112812	10416066	10426691	10626	-	1151	upstream	1151	FDX2
chr19	10662694	10662717	24	*	X06780	100302226	10662798	10662880	83	+	80	upstream	80	MIR1238
chr19	10823435	10823461	27	*	X06797	1785	10823794	10944160	120367	+	332	upstream	332	DNM2
chr19	10823942	10823979	38	*	X06798	1785	10823794	10944160	120367	+	0	inside	147	DNM2
chr19	12817337	12817456	120	*	X06874	26810	12817263	12817332	70	-	4	upstream	4	SNORD41
chr19	13054803	13054937	135	*	X06895	5886	13056628	13064457	7830	+	1690	upstream	1690	RAD23A
chr19	13947826	13948035	210	*	X06920	284454	13945330	13947473	2144	-	352	upstream	352	MIR23AHG
chr19	14065348	14065367	20	*	X06923	79883	14042000	14064204	22205	-	1143	upstream	1143	PODNL1
chr19	16243128	16243129	2	*	X06986	84941	16244838	16269377	24540	+	1708	upstream	1708	HSH2D
chr19	16243135	16243217	83	*	X06987	84941	16244838	16269377	24540	+	1620	upstream	1620	HSH2D
chr19	19146417	19146521	105	*	X07129	10147	19101697	19144832	43136	-	1584	upstream	1584	SUGP2
chr19	36038126	36038275	150	*	X07216	100506469	36031640	36036931	5292	-	1194	upstream	1194	TMEM147-AS1
chr19	36234793	36234927	135	*	X07235	55851	36236494	36243734	7241	+	1566	upstream	1566	PSENEN
chr19	39138383	39138419	37	*	X07274	81	39138267	39221171	82905	+	0	inside	115	ACTN4
chr19	40324397	40324621	225	*	X07338	9149	40315990	40324841	8852	-	0	inside	219	DYRK1B
chr19	40324742	40324966	225	*	X07339	9149	40315990	40324841	8852	-	0	overlapStart	0	DYRK1B
chr19	44115847	44115969	123	*	X07445	100170229	44116253	44118650	2398	+	283	upstream	283	SRRM5
chr19	45157335	45157357	23	*	X07475	100616355	45156956	45157002	47	-	332	upstream	332	MIR4531
chr19	45157478	45157619	142	*	X07476	100616355	45156956	45157002	47	-	475	upstream	475	MIR4531
chr19	46319672	46319821	150	*	X07537	81492	46298968	46318605	19638	-	1066	upstream	1066	RSPH6A
chr19	46520793	46520914	122	*	X07551	768217	46522190	46522307	118	+	1275	upstream	1275	MIR769
chr19	48257631	48257753	123	*	X07655	692091	48259110	48259219	110	+	1356	upstream	1356	SNORD23
chr19	48258784	48258903	120	*	X07656	692091	48259110	48259219	110	+	206	upstream	206	SNORD23
chr19	48957196	48957246	51	*	X07676	3770	48958964	48969367	10404	+	1717	upstream	1717	KCNJ14
chr19	48957480	48957628	149	*	X07677	3770	48958964	48969367	10404	+	1335	upstream	1335	KCNJ14
chr19	48957637	48958041	405	*	X07678	3770	48958964	48969367	10404	+	922	upstream	922	KCNJ14
chr19	48958177	48958281	105	*	X07679	3770	48958964	48969367	10404	+	682	upstream	682	KCNJ14
chr19	48958733	48958755	23	*	X07680	3770	48958964	48969367	10404	+	208	upstream	208	KCNJ14
chr19	49498579	49498668	90	*	X07697	2997	49471382	49496610	25229	-	1968	upstream	1968	GYS1
chr19	50166316	50166435	120	*	X07764	83596	50168399	50177173	8775	+	1963	upstream	1963	BCL2L12
chr19	50190517	50190574	58	*	X07769	199800	50191942	50194247	2306	+	1367	upstream	1367	ADM5
chr19	50190723	50190797	75	*	X07770	199800	50191942	50194247	2306	+	1144	upstream	1144	ADM5
chr19	50886052	50886115	64	*	X07806	5424	50887580	50921275	33696	+	1464	upstream	1464	POLD1
chr19	51302345	51302464	120	*	X07821	692203	51302286	51302382	97	-	0	overlapStart	0	SNORD88B
chr19	51302615	51302719	105	*	X07822	692203	51302286	51302382	97	-	232	upstream	232	SNORD88B
chr19	51302615	51302719	105	*	X07822	692202	51302696	51302792	97	-	0	overlapEnd	72	SNORD88A
chr19	51302885	51303004	120	*	X07823	692203	51302286	51302382	97	-	502	upstream	502	SNORD88B
chr19	51302885	51303004	120	*	X07823	692202	51302696	51302792	97	-	92	upstream	92	SNORD88A
chr19	51307237	51307269	33	*	X07824	692204	51305582	51305678	97	-	1558	upstream	1558	SNORD88C
chr19	52395698	52395793	96	*	X07829	84765	52359056	52394145	35090	-	1552	upstream	1552	ZNF577
chr19	55742026	55742113	88	*	X07886	255043	55738002	55740632	2631	-	1393	upstream	1393	TMEM86B
chr19	59067575	59067709	135	*	X07951	27243	59062933	59066486	3554	-	1088	upstream	1088	CHMP2A
chr19	59067845	59068039	195	*	X07952	27243	59062933	59066486	3554	-	1358	upstream	1358	CHMP2A
chr19	59068550	59068781	232	*	X07953	100131691	59070553	59086164	15612	+	1771	upstream	1771	MZF1-AS1
chr2	27433241	27433269	29	*	X08019	51374	27434899	27440046	5148	+	1629	upstream	1629	ATRAID
chr2	27664246	27664350	105	*	X08035	200634	27665233	27669348	4116	+	882	upstream	882	KRTCAP3
chr2	29004263	29004397	135	*	X08041	245711	29005383	29073475	68093	+	985	upstream	985	SPDYA
chr2	74732226	74732345	120	*	X08181	85474	74724644	74730443	5800	-	1782	upstream	1782	LBX2
chr2	74753194	74753298	105	*	X08182	165545	74745258	74753408	8151	-	0	inside	109	DQX1
chr2	219267279	219267368	90	*	X08449	407017	219267369	219267445	77	+	0	upstream	0	MIR26B
chr2	220084860	220084979	120	*	X08465	10058	220074488	220085174	10687	-	0	inside	194	ABCB6
chr2	240273954	240274023	70	*	X08576	100616360	240273419	240273499	81	-	454	upstream	454	MIR2467
chr2	242294102	242294206	105	*	X08606	9855	242295664	242434256	138593	+	1457	upstream	1457	FARP2
chr20	3765718	3765852	135	*	X08674	994	3767578	3786761	19184	+	1725	upstream	1725	CDC25B
chr20	30194331	30194435	105	*	X08749	100422904	30194989	30195043	55	+	553	upstream	553	MIR3193
chr20	44439302	44439406	105	*	X08935	11065	44441255	44445596	4342	+	1848	upstream	1848	UBE2C
chr20	57608924	57609043	120	*	X09043	514	57603733	57607422	3690	-	1501	upstream	1501	ATP5F1E
chr20	60907760	60907849	90	*	X09074	100616340	60907543	60907613	71	-	146	upstream	146	MIR4758
chr20	60908510	60908599	90	*	X09075	100616340	60907543	60907613	71	-	896	upstream	896	MIR4758
chr20	60909117	60909158	42	*	X09076	100616340	60907543	60907613	71	-	1503	upstream	1503	MIR4758
chr20	61299710	61299844	135	*	X09094	100127888	61294379	61297973	3595	-	1736	upstream	1736	SLCO4A1-AS1
chr20	62325694	62325695	2	*	X09134	8771	62327131	62330051	2921	+	1435	upstream	1435	TNFRSF6B
chr20	62326406	62326447	42	*	X09135	8771	62327131	62330051	2921	+	683	upstream	683	TNFRSF6B
chr20	62574532	62574651	120	*	X09145	100302137	62572818	62572897	80	-	1634	upstream	1634	MIR1914
chr20	62574532	62574651	120	*	X09145	693232	62573984	62574079	96	-	452	upstream	452	MIR647
chr20	62575702	62575926	225	*	X09146	693232	62573984	62574079	96	-	1622	upstream	1622	MIR647
chr21	34620661	34620765	105	*	X09174	3588	34621014	34669539	48526	+	248	upstream	248	IL10RB
chr22	21354699	21354803	105	*	X09391	439931	21356211	21364663	8453	+	1407	upstream	1407	THAP7-AS1
chr22	23603247	23603366	120	*	X09413	26226	23604954	23607186	2233	+	1587	upstream	1587	FBXW4P1
chr22	24236859	24237006	148	*	X09433	4282	24236565	24237409	845	+	0	inside	293	MIF
chr22	24811625	24811774	150	*	X09458	135	24813709	24838325	24617	+	1934	upstream	1934	ADORA2A
chr22	30805257	30805376	120	*	X09512	51537	30805176	30825041	19866	+	0	inside	80	MTFP1
chr22	41864073	41864128	56	*	X09732	50	41865129	41924993	59865	+	1000	upstream	1000	ACO2
chr22	42018375	42018464	90	*	X09738	27351	41994032	42017061	23030	-	1313	upstream	1313	DESI1
chr22	46485711	46485830	120	*	X09795	100500828	46486924	46487006	83	+	1093	upstream	1093	MIR3619
chr22	46485966	46486055	90	*	X09796	100500828	46486924	46487006	83	+	868	upstream	868	MIR3619
chr22	50684924	50685043	120	*	X09842	85378	50656118	50683400	27283	-	1523	upstream	1523	TUBGCP6
chr3	9440064	9440093	30	*	X09904	440944	9391373	9439174	47802	-	889	upstream	889	THUMPD3-AS1
chr3	10320185	10320280	96	*	X09929	100126793	10320905	10335133	14229	+	624	upstream	624	GHRLOS
chr3	10321031	10321108	78	*	X09930	100126793	10320905	10335133	14229	+	0	inside	125	GHRLOS
chr3	14991913	14991957	45	*	X09980	100505641	14961857	14989948	28092	-	1964	upstream	1964	FGD5-AS1
chr3	47889865	47889984	120	*	X10098	100302232	47891045	47891119	75	+	1060	upstream	1060	MIR1226
chr3	47890030	47890164	135	*	X10099	100302232	47891045	47891119	75	+	880	upstream	880	MIR1226
chr3	47890502	47890621	120	*	X10100	100302232	47891045	47891119	75	+	423	upstream	423	MIR1226
chr3	48344830	48344896	67	*	X10108	10201	48335589	48342886	7298	-	1943	upstream	1943	NME6
chr3	49068029	49068163	135	*	X10139	3615	49061762	49066875	5114	-	1153	upstream	1153	IMPDH2
chr3	49315400	49315489	90	*	X10146	375341	49306030	49314508	8479	-	891	upstream	891	C3orf62
chr3	49758349	49758468	120	*	X10156	386724	49754267	49757238	2972	-	1110	upstream	1110	AMIGO3
chr3	50139509	50139643	135	*	X10163	100775107	50137036	50138421	1386	-	1087	upstream	1087	RBM5-AS1
chr3	52003051	52003215	165	*	X10201	57060	51991470	52001482	10013	-	1568	upstream	1568	PCBP4
chr3	52265839	52265875	37	*	X10213	54106	52255096	52265247	10152	-	591	upstream	591	TLR9
chr3	148802177	148802281	105	*	X10415	100873945	148804119	148820610	16492	+	1837	upstream	1837	HLTF-AS1
